location,longitude,latitude
Las,0.3098676,43.4697786
Hogwarts,36.78411273,-1.24139975
Philadelphia,-75.1635262,39.9527237
Vietnam,108.4265113,13.2904027
K.E,121.04371,14.6295668
Montreal,-73.6103642,45.4972159
Lake,-122.7776556,39.0505411
Albuquerque,-106.6509851,35.0841034
Carlo,153.0984357,-25.913369
Hoboken,-74.0323752,40.7433066
Francisco,-87.7017658,41.9661531
Miranda,-66.416667,10.25
Ocean,-74.3319287,39.977818
Athabasca,-113.996434,55.1705421
Williamsburg,-76.69448606,37.27892105
Boheme,1.6729555,45.6196378
L.A.,13.0011564,52.8454307
Buffalo,-78.8783922,42.8867166
Queens,-73.7976337,40.7498243
Hammersmith,-0.2236401,51.4920377
Los,3.32078613,6.5739857
Valley,-98.9805484,41.5595723
Denver,-104.9848623,39.7392364
Fez,-5.0161926,34.0346534
Wawa,-84.7740199,47.9929283
County,-73.783892,2.8894434
Morse,-101.4766379,36.0612
Sudbury,-80.991211,46.49272
Baltics,-74.7910585,45.328499
Rica,24.4002662,47.8298061
Florida,-81.4639835,27.7567667
Chicoutimi,-71.12352614,48.3370248
Mental,-0.2045165,5.5624636
Honolulu,-157.8556764,21.304547
Cameroon,13.1535811,4.6125522
Italy,12.674297,42.6384261
Manatee,-82.3801566,27.5213933
Kansas,-98.5821872,38.27312
Ronkonkoma,-73.112333,40.8153761
Halifax,-63.5859487,44.648618
O'Hare,-87.90676789,41.97310105
Seattle,-122.3300624,47.6038321
Kappa,-89.007852,40.6758686
Kiddie,-74.02642911,40.7436614
Epcot,-81.54904536,28.3723638
China,104.999927,35.000074
Guelph,-80.2493276,43.5460516
Van,108.4265113,13.2904027
Wisconsin,-89.6884637,44.4308975
Mexico,-99.1331785,19.4326296
Red,-2.6463401,56.6859212
Marino,12.6586082,41.7697883
Marathon,-94.9824889,42.8616407
Chip,33.1451285,34.9823018
Pacific,-123.768029,46.5334929
Newfoundland,-56.69629621,49.12120935
Square,30.7433897,28.117915
Cafe,-41.57617475,-20.8586981
Winnipeg,-97.1384584,49.8955367
Crosby,-101.2855737,33.5778818
Australia,134.755,-24.7761086
Mclaren,-109.2967717,53.2775504
Allentown,-75.4712794,40.6022059
Bellmore,-73.52848529,40.6538126
Kashmir,75.39310005,34.9271029
Loire,4.045473683,45.75385355
America,5.966069282,51.44770365
Barney,-97.0006405,46.2671819
Gardens,-73.99355028,40.7505247
G.I,25.1645797,54.7058343
Mother,79.9073139,6.9030721
Ray,-93.9888262,39.3661726
airport,24.9472068,60.32135905
Europe,10,51
Montauk,-71.94387532,41.0436298
Mosby,-94.2938356,39.315559
Rikers,7.1180173,53.5953764
Alaska,-149.680909,64.4459613
Clearwater,-82.8001026,27.9658533
East,112.8783222,31.15172525
Soviet,30.5023109,52.5972989
Belize,-88.7600927,16.8259793
Colorado,-105.6077167,38.7251776
Germany,10.4234469,51.0834196
Theater,37.619237,55.7575574
Orlando,-81.3790304,28.5421109
E.R,-73.92771,40.7792911
Larney,-76.144622,39.246261
Frog,-69.91461532,44.2804839
City,-0.0919983,51.5156177
Ohio,-82.6881395,40.2253569
Argentina,-64.9672817,-34.9964963
Scotia,-4.1140518,56.7861112
Lower,-9.3658524,5.7499721
Creek,-84.0739102,10.2735633
Westerton,-0.743031544,50.85900715
Aires,-47.9324683,-0.8801767
Yankee,-85.9803488,13.2211816
Vienna,16.3725042,48.2083537
Lilypad,76.7044639,8.7379244
JFK,-73.77937337,40.6429479
Duluth,-92.1251218,46.7729322
National,-80.0375691,39.5839716
Midwest,-106.280075,43.411391
Tail,76.0259994,11.9827487
Ottawa,-75.690308,45.421106
Edmonton,-113.507996,53.535411
Diego,49.2913394,-12.2779134
Dallas,-96.7968559,32.7762719
Tower,19.25705417,47.43863905
Newark,-74.1723667,40.735657
Duchess,-111.9055311,50.7305674
Cantina,-46.9990365,-2.3546371
Caribbean,-75,18.4
States.Marshall,-89.2998456,41.0324537
Venice,12.3345898,45.4371908
Key,-81.32846798,24.7279255
Azerbaijan,47.7872508,40.3936294
Apple,-71.0823899,42.3489328
Hampshire,-1.24340936,51.04483545
Castle,-0.339950783,51.57208825
Ikea,17.91728804,59.2714229
Regionals,2.1060271,41.5038655
States,-100.4458825,39.7837304
Civic,149.1291868,-35.2812678
Funland,72.43143289,30.7800529
Canada,-107.9917071,61.0666922
Jenkins,-81.9613566,32.7793141
San,127.6961188,36.638392
Bronx,-73.8785937,40.8466508
Japan,139.2394179,36.5748441
Alcatraz,-122.422759,37.82672135
Pelican,-136.2275,57.9608333
Fifth,34.1014066,44.5013651
Zoo,113.3017916,23.13737645
Kentucky,-85.1551411,37.5726028
Corner,5.812744291,46.0523765
Finland,25.9209164,63.2467777
Squamish,-123.1558612,49.6980743
Mount,14.4476911,35.8885993
Russia,97.7453061,64.6863136
Geauga,-81.1850459,41.4768249
Leipzig,12.3747329,51.3406321
Brazzaville,15.2712256,-4.2694407
Florence,11.2555757,43.7698712
Orange,-117.8704931,33.7500378
Notre,2.3065041,48.8551739
Iowa,-93.3122705,41.9216734
Pompeii,14.4905636,40.7517375
Garden,-73.99355028,40.7505247
Virginia,-78.4927721,37.1232245
Hard,9.6916539,47.489391
Cleveland,-81.6934446,41.5051613
Vatican,12.4528349,41.9034912
Nicollet,-94.2362169,44.3380412
Riviera,-121.3518152,38.568972
Mc,7.4276832,43.7323492
Belt,14.5136759,35.8989818
Chihuahua,-106.0000001,28.5000001
Paradise,-115.1734142,36.1150858
Everglades,-3.889642364,55.77299305
Texas,-99.5120986,31.8160381
Riddler,-6.2747683,53.3431753
Milan,9.1905,45.4668
Shanghai,121.4890497,31.2252985
Plaza,19.134422,52.215933
Himalayas,86.9163367,27.985688
Ninth,-75.264122,45.1540546
Bolshoi,44.6066806,54.2185276
Rangoon,96.1609916,16.7967129
Waddington,-0.5390813,53.1672819
Monterey,-121.3877428,36.2231079
Rhode,7.8604658,51.0505758
Nantucket,-70.0984222,41.2851566
Mansion,-62.7583022,17.3827474
Strickland,-91.5212741,45.4366278
Magic,-114.3867132,43.2551815
Long,1.9793659,50.039326
Kinzie,18.4424399,-3.5934326
Gotham,-90.2915132,43.2233214
Amazon,-63.5185396,-4.479925
Pezzi,-60.2169657,-33.3527384
Dakota,-93.044911,44.666655
Roosevelt,-104.9709901,48.3069516
Atlantic,-74.6632883,39.5143268
Palm,-75.5329608,40.4281539
NY,-75.8449946,43.1561681
Village,4.0208531,50.1849937
Islands,-96.7599994,33.8389917
Quest,-122.678172,45.5171789
Victoriaville,-71.9536674,46.0573705
Tunnel,7.628086,46.7582827
Vancouver,-123.1139529,49.2608724
North,11.52803644,64.5731537
Hamptons,-113.675631,53.4880855
Earth,-102.4107493,34.2331373
Potomac,-77.2094542,39.017936
Phoenix,-112.0741417,33.4484367
Wesleyan,-83.7174103,32.8779217
Denmark,10.3333283,55.670249
British,-6.228198935,54.6631376
Marshall,-89.2998456,41.0324537
Ghostbar,-115.1946346,36.1142911
Nassau,-77.3383331,25.0783456
Caracas,-66.9146017,10.506098
Eiffel,77.14108867,28.4356934
Westchester,-73.7907554,41.1763139
Magazine,-93.8068652,35.1509249
Republic,-97.6580834,39.8266503
England,-0.540240287,52.7954791
Zone,10.1158821,45.7634448
Costa,9.0025896,42.5749251
Glasgow,-4.2488787,55.8609825
Blacky,36.8448866,-1.3111905
Rockies,-110.9175065,43.3578532
Rapids,177.3342245,-38.2737648
Laren,5.21624403,52.24253135
Trenton,-74.7429463,40.2170575
Dubai,55.18876088,25.0750095
Nicaragua,-85.2936911,12.6090157
Mountain,-97.8650966,48.6877719
Henrietta,-98.1947866,33.8165233
Connecticut,-72.7342163,41.6500201
Netherlands,5.7480821,52.5001698
Cheyenne,-104.820246,41.139981
Thailand,100.83273,14.8971921
Winnibigoshish,-94.22291554,47.4340709
France,1.8883335,46.603354
Caverns,-3.669444448,56.0556289
Jamaica,-77.15984546,18.1152958
Brooklyn,-73.9495823,40.6501038
Foxwoods,-71.95779642,41.47285265
Dame,99.0227292,3.3470966
Iraq,44.1749775,33.0955793
Bermuda,-64.7603583,32.3018217
Cape,-110.4020203,31.8228644
Mars,4.3221548,45.022172
Heights,-0.459720427,51.3540172
New York,-74.0060152,40.7127281
Tijuana,-116.9646629,32.5010188
Scotland,-4.1140518,56.7861112
Carousel,-111.8938767,40.9848442
Columbus,-83.0007065,39.9622601
Rochelle,-1.1520434,46.1591126
Morocco,-7.3362482,31.1728205
Lillypad,-85.9083947,41.6764237
Kremlin,37.6181531,55.7514952
Jupiter,-80.12108914,26.9260832
Chili,-71.3187697,-31.7613365
Grey,-80.7044303,44.4911873
Hawaii,-157.975203,21.2160437
Narnia,12.5152257,42.5195891
Rhinebeck,-73.9126639,41.9268754
Angeles,120.5879182,15.1399659
Honduras,-86.0755145,15.2572432
Largo,-82.7873244,27.9094665
Daniel,-111.4034545,40.46465805
Kennedy,-96.9089482,48.641925
Charleston,-79.9402728,32.7876012
Poughkeepsie,-73.9284101,41.7065779
Sea,-122.3080159,47.4475673
Labatts,-76.211816,43.168628
Lily,-97.683422,45.1813467
Sugar,-102.6685282,38.1502861
Tokyo,139.7594549,35.6828387
Ballet,-0.291217,45.7411472
Amerika,-100.4458825,39.7837304
Brook,-1.6139838,50.9254563
Bordeaux,-0.5800364,44.841225
Pole,19.134422,52.215933
Manitoba,-97.001038,55.001251
Kamloops,-120.3394159,50.6758269
Mouth,-0.5296531,51.8924161
Leone,-170.7836176,-14.3375495
Manila,120.9799696,14.5906216
Chinatown,-73.9962504,40.7164913
Saskatoon,-106.660767,52.131802
Broadway,-1.8618609,52.0353825
Barts,-0.100046049,51.51749
Luke's-Roosevelt,-86.28477051,43.19043245
Madison,-89.3837613,43.074761
Center,1.7324062,47.5490251
Port,5.5710285,46.1635975
Houston,-95.3676974,29.7589382
Bow,-0.0274853,51.5309383
Times,139.5487742,35.316619
O.K,-1.632879,42.7769136
Trout,-80.4678579,38.0167857
Malaysia,102.2656823,4.5693754
Rio,-43.2093727,-22.9110137
Poconos,-75.6046334,41.0256428
Howe,1.3521979,52.5490639
Baltic,-96.740329,43.761363
Tempe,-111.9400125,33.4255056
Hudson,-71.4397167,42.7654433
Hawkeye,-91.9501687,42.9385894
Panama,-81.1308434,8.559559
West,34.5731341,0.5090396
Edinburgh,-3.1883749,55.9533456
Baffe,6.572,48.1605
Bellevue,-122.1923372,47.6144219
Secaucus,-74.0566735,40.7899291
Prague,14.4212535,50.0874654
Nova,16.6779487,46.6851951
Santa,43.4406913,44.8632577
India,78.6677428,22.3511148
Fundy,-65.92352487,45.0427719
Killarney,-9.505322,52.0595746
Inn,11.7075655,47.3547646
Madrid,-3.7035825,40.4167047
Coast,-5.6696957,57.8155948
Maui,-156.3106833,20.8029568
Wall,116.8964723,-1.26662075
Butterfield,-94.7946255,43.9583641
Smith,-95.2563971,32.3402898
Vogue,4.4156504,44.5497298
Miami,-80.1936589,25.7742658
Bengladesh,3.030666625,36.76378185
Columbia,-73.783892,2.8894434
Kong,-4.610648,9.148681
Queensboro,-81.2214944,40.5181198
Northwest,11.52803644,64.5731537
Brussels,4.351697,50.8465573
Chicago,-87.6244212,41.8755616
Plains,-102.8279889,33.1887135
Bangladesh,90.2932426,24.4768783
Jordan,36.941628,31.1667049
's,127.6961188,36.638392
Michigan,-84.6824346,43.6211955
Kenya,38.4313975,1.4419683
Bellagio,9.2613001,45.9872549
Norway,11.52803644,64.5731537
Quebec,-71.8258668,52.4760892
South,127.6961188,36.638392
Ontario,-86.000977,50.000678
Maine,-68.8590201,45.709097
Public,124.7790134,7.683784
Midlle,4.2149742,36.5371278
Wyoming,-107.5685348,43.1700264
Sweden,14.5208584,59.6749712
Web,38.6594263,4.4954427
Bushwick,-73.9187482,40.6942696
Arizona,-111.7632755,34.395342
Hamilton,-79.8728583,43.2560802
Canyon,-101.9193395,34.9798392
Lisa,25.14370623,43.7934955
U.S.A,30.0540191,31.1932768
Waldorf,7.2293555,50.4855665
Pinewood,1.109641,52.0356772
Guantanamo,-75.2034783,20.1431797
Antietam,-77.7422152,39.416211
Greenwich,-0.0045417,51.4820845
Victoria,144.6780052,-36.5986096
Carolina,-79.04775327,35.90503535
Park,71.247499,30.3308401
Hill,-97.0881654,31.9595085
Central,-68.42482002,9.577626
Toronto,-79.3839347,43.6534817
Bridge,3.4833333,49.6013889
Zabka,15.1798534,50.1566885
Exeter,-3.5269108,50.725562
Moscow,37.6174943,55.7504461
Delaware,-75.4013315,38.6920451
London,-0.1276474,51.5073219
Falls,-96.9262126,31.2320941
Rome,12.4829321,41.8933203
Derby,-1.4761491,52.9212617
Niagara,-78.7676017,43.2042439
Sydney,151.2164539,-33.8548157
Granola,15.4195015,47.0717515
Cod,24.1822969,45.6705089
Lincoln,-118.414727,47.8299069
Disney,-84.1713136,36.2486899
Buenos,-101.4876461,33.2992595
Zaire,23.8222636,-2.9814344
Saxony,13.4585052,50.9295798
Labrador,-61.88499184,55.9266344
Alberta,-115.002136,55.001251
Missouri,-92.5617875,38.7604815
Willowbrook,-118.2343933,33.9187863
â™ª,19.35897376,51.65836185
Charlotte,-80.843083,35.2272
Pals,3.1460371,41.9709891
Janeiro,-74.31533632,9.31994395
Aloha,-122.8670451,45.4942838
Croix,3.1564365,50.6802124
Papaya,-83.8478431,22.2512393
Richmond,-77.43428,37.5385087
Gumdrop,-122.4343763,45.53130175
California,-118.7559974,36.7014631
Hall,-100.6536777,34.5036637
Linco,-102.1303743,31.9682948
Hallway,-85.3752237,32.6201346
Estonia,25.3319078,58.7523778
Karen,97.7499316,17.1863135
Tangier,-5.803792,35.777103
L'Amour,6.4742283,48.9487639
Haven,-97.7828272,37.8989003
Gaia,85.0079563,24.7964355
Bro,44.0287382,41.6809707
Airport,24.9472068,60.32135905
Snake,-71.5255967,41.8481529
Boston,-71.0582912,42.3602534
Triangle,-78.7751271,35.875259
Sprot,5.2265926,51.7476286
Lily.,-97.683422,45.1813467
Avenue,15.14056904,40.9965446
Toledo,-4.0239568,39.8560679
Hells,-0.933545,51.44677195
Paris,2.3514616,48.8566969
Empire,-120.902194,37.6381956
YORK,-1.0815361,53.9590555
Manhattan,-73.9598939,40.7896239
Antarctica,0.3149312,-79.4063075
Lafayette,-92.0198427,30.2240897
Cana,21.2496774,48.7172272
Detroit,-83.0466403,42.3315509
Peru,-75.0458515,-6.8699697
Philly,-75.19078391,39.88771115
Portugal,-7.8896263,40.0332629
Amsterdam,4.897975506,52.3745403
Spain,-4.8380649,39.3262345
U.S.A.,30.0540191,31.1932768
Pyongyang,125.753388,39.0194741
Bemidji,-94.8907869,47.4785418
Building,69.08928243,34.4720725
Juan,-74.47769911,-45.6925659
Bengay,-81.6202743,31.8110413
Sichuan,102.4999999,30.5000001
World,174.7757724,-41.289636
United,-81.4264987,37.9906638
Claus,-120.9199327,37.6865964
Memphis,-90.0516285,35.1490215
York,-1.0815361,53.9590555
Pittsburgh,-79.9900861,40.4416941
Mountains,104.5423073,10.6423261
Candyland,18.0750096,59.3595114
Eighth,34.0985685,44.5027316
Neverland,-121.9197466,36.5483056
Greece,21.9877132,38.9953683
One,6.0491498,52.3443982
Sierra,-120.5305731,39.5849065
Puzzles,7.7766833,49.4471101
Highland,-5.0038367,57.5066357
Vermont,-72.5002608,44.5990718
St,13.83074794,50.0601579
Illinois,-89.4337288,40.0796606
Akron,-81.518485,41.083064
Forest,-79.2640912,41.5329762
Peter,17.7975324,47.4654288
Babaka,-16.2176911,12.0656863
Bigfoot,-98.8666937,29.0469112
Jersey,-2.12559996,49.21230655
Spokane,-117.4212265,47.6579425
Staten,15.5129832,57.4745701
Brazil,-53.2,-10.3333333
Shaker,-73.7820524,42.7095169
Korea,127.6961188,36.638392
Coney,-83.88361237,31.957301
Road,-7.20478865,53.3464758
Western,34.5731341,0.5090396
york,-1.0815361,53.9590555
Alabama,-86.8295337,33.2588817
Loretta,-3.7206937,47.952765
Meadow,-60.6562655,46.3059446
Egypt,29.2675469,26.2540493
Moosejaw,-83.0489567,42.3337997
Eastern,38.6025801,1.1787184
Casa,2.52115,43.7376
Hook,-0.951745769,51.2863211
Holland,5.7480821,52.5001698
Monte,9.3916453,42.4687171
Arctic,55.1392941,25.2292794
Oregon,-120.737257,43.9792797
Minnesota,-94.6113288,45.9896587
Gouda,4.711122135,52.01811935
Vegas,-81.8159182,22.7362659
Boner,-1.5410783,47.8141135
Manor,-97.5569456,30.3407629
Vire,-0.887259446,48.8517468
Paramus,-74.0735899,40.9452911
Ganso,-83.7205334,22.3446207
Roswell,-84.360022,34.02332
Punchy,2.8094467,49.7919535
Haden,151.8824493,-27.2245727
Splitsville,-77.5094808,38.288778
Hungabee,-116.292309,51.3331895
Barn,7.4514512,46.9482713
Pamela,-89.276001,37.750499
Shop,-4.5216949,50.905888
Hong,115.8885987,28.6792695
USA,-100.4458825,39.7837304
D.C.,-76.98788325,38.89366125
Boulevard,90.2932426,24.4768783
Montague,-97.7215754,33.6205753
Holly's,-1.5830936,54.9077451
Metro,33.45893093,44.5691838
Providence,-71.4128343,41.8239891
Catskills,-81.790825,30.197119
Tonies,9.9059961,47.8596678
Peninsula,2.2933072,48.870745
Pelham,-86.8099884,33.285669
Middle,-4.514479469,54.1784646
Gettysburg,-77.231012,39.8308973
NEW,-0.050914948,51.4859529
Aken,6.083862,50.776351
Hospital,-7.1013033,42.7051669
Gongqing,121.546384,31.32090515
